orf	name	type	betw	regulation
20S_proteasome	20S_proteasome	C	0.01843	NA
Arp2/3	Arp2/3	C	0.03417	NA
CCR4-NOT	CCR4-NOT	C	0.06357	NA
COMPASS	COMPASS	C	0.0011	NA
COPI	COPI	C	0.00071	NA
COPII	COPII	C	0.0	NA
CORVET	CORVET	C	8e-05	NA
Chs5p/Arf-(ChAPs)	Chs5p/Arf-(ChAPs)	C	8e-05	NA
Ubiquinol-cytochrome_c_reductase_III	Ubiquinol-cytochrome_c_reductase_III	C	0.00769	NA
Cytochrome_c_oxidase	Cytochrome_c_oxidase	C	0.01733	NA
DASH	DASH	C	0.00059	NA
DNA-directed_RNA_pol_III	DNA-directed_RNA_pol_III	C	0.06121	NA
DNA-directed_RNA_pol_II	DNA-directed_RNA_pol_II	C	0.00128	NA
DNA-directed_RNA_pol_I	DNA-directed_RNA_pol_I	C	0.0225	NA
DNA_repl_(Rad24p)	DNA_repl_(Rad24p)	C	0.00537	NA
Dsl1p	Dsl1p	C	0.0001	NA
EKC/KEOPS_protein	EKC/KEOPS_protein	C	0.00136	NA
Elongator	Elongator	C	0.00049	NA
Exocyst	Exocyst	C	0.0018	NA
F0/F1_ATP_synthase	F0/F1_ATP_synthase	C	3e-05	NA
FBP_degradation	FBP_degradation	C	0.0	NA
factor_arrest_complex	factor_arrest_complex	C	0.00033	NA
GPI-anchor_transamidase	GPI-anchor_transamidase	C	0.02036	NA
Golgi_transport	Golgi_transport	C	0.0	NA
H+-transporting_ATPase,_vacuolar	H+-transporting_ATPase,_vacuolar	C	0.01382	NA
Ino80p	Ino80p	C	0.01071	NA
Kornberg's_mediator	Kornberg's_mediator	C	0.00033	NA
Npa2p-containing_subcomplex	Npa2p-containing_subcomplex	C	0.0	NA
NuA3_histone_acetyltransferase	NuA3_histone_acetyltransferase	C	0.01468	NA
NuA4_histone_acetyltransferase	NuA4_histone_acetyltransferase	C	0.00033	NA
Nuclear_exosome	Nuclear_exosome	C	0.00839	NA
Nup84p	Nup84p	C	0.00571	NA
OCA	OCA	C	0.0	NA
PAM	PAM	C	0.01367	NA
Prp19-associated	Prp19-associated	C	0.00145	NA
RNA_pol_I_upstream_activating_factor	RNA_pol_I_upstream_activating_factor	C	0.10292	NA
RSC	RSC	C	0.0	NA
Rpd3L	Rpd3L	C	0.0	NA
Rpd3S	Rpd3S	C	0.00309	NA
SPB	SPB	C	0.00244	NA
SWI/SNF	SWI/SNF	C	0.0	NA
Set3p	Set3p	C	0.00013	NA
SRP	SRP	C	0.00013	NA
Swr1p	Swr1p	C	0.01257	NA
TORC_2	TORC_2	C	0.0	NA
TRAPP	TRAPP	C	0.0	NA
U2_snRNP	U2_snRNP	C	0.00192	NA
U4/U6_x_U5_tri-snRNP	U4/U6_x_U5_tri-snRNP	C	2e-05	NA
U5_snRNP	U5_snRNP	C	0.0	NA
U6_snRNP	U6_snRNP	C	0.02577	NA
UTP_A	UTP_A	C	0.00034	NA
UTP_B	UTP_B	C	0.00041	NA
YAL008W	FUN14	S	0.00132	0.632
YAL015C	NTG1	S	0.01675	0.434
YAL018C	LDS1	S	0.0	0.732
YAL029C	MYO4	S	0.0284	0.605
YAL036C	RBG1	S	0.0	0.796
YAL044W-A	YAL044W-A	S	0.12072	NA
YAL046C	AIM1	S	0.00687	0.568
YAL048C	GEM1	S	0.0025	0.54
YAL053W	FLC2	S	0.00427	0.47
YAL056W	GPB2	S	0.00405	0.541
YAL058W	CNE1	S	0.0	0.658
YAL059W	ECM1	S	0.00085	0.838
YAR010C	YAR010C	S	0.00014	0.67
YAR028W	YAR028W	S	0.01231	0.566
YAR031W	PRM9	S	0.00675	0.424
YBL009W	ALK2	S	0.01876	0.726
YBL011W	SCT1	S	0.01139	0.382
YBL020W	RFT1	S	0.0	0.494
YBL022C	PIM1	S	0.03759	0.57
YBL024W	NCL1	S	0.0	1.176
YBL029W	YBL029W	S	0.00548	0.713
YBL034C	STU1	S	0.0	0.499
YBL036C	YBL036C	S	0.0	0.453
YBL051C	PIN4	S	0.00012	0.468
YBL054W	TOD6	S	2e-05	1.165
YBL056W	PTC3	S	0.05933	0.51
YBL064C	PRX1	S	0.00723	1.789
YBL081W	YBL081W	S	0.02692	0.473
YBL088C	TEL1	S	0.00081	0.601
YBL091C-A	SCS22	S	0.0	NA
YBL095W	YBL095W	S	0.0003	0.639
YBR002C	RER2	S	0.0264	0.447
YBR004C	GPI18	S	0.00423	0.552
YBR024W	SCO2	S	0.00117	0.558
YBR029C	CDS1	S	0.00275	0.547
YBR035C	PDX3	S	0.0	0.584
YBR037C	SCO1	S	0.00091	0.783
YBR044C	TCM62	S	0.0	0.478
YBR046C	ZTA1	S	0.00098	1.103
YBR049C	REB1	S	0.00019	0.389
YBR052C	RFS1	S	0.0	0.984
YBR054W	YRO2	S	0.0	1.367
YBR058C	UBP14	S	0.00118	0.365
YBR065C	ECM2	S	0.00981	0.545
YBR068C	BAP2	S	0.00011	0.98
YBR078W	ECM33	S	0.00472	0.732
YBR083W	TEC1	S	0.00992	0.722
YBR085W	AAC3	S	0.0	0.63
YBR086C	IST2	S	0.00038	0.513
YBR094W	PBY1	S	0.00116	0.377
YBR096W	YBR096W	S	0.00294	0.822
YBR101C	FES1	S	0.01286	0.875
YBR108W	AIM3	S	0.0	0.46
YBR110W	ALG1	S	0.03869	0.471
YBR117C	TKL2	S	0.0	1.387
YBR121C	GRS1	S	0.0	1.188
YBR125C	PTC4	S	0.00495	0.32
YBR130C	SHE3	S	0.0	0.534
YBR138C	YBR138C	S	0.00445	0.55
YBR139W	YBR139W	S	0.01299	1.108
YBR140C	IRA1	S	0.00376	0.306
YBR155W	CNS1	S	0.00103	0.909
YBR158W	AMN1	S	0.00087	0.732
YBR166C	TYR1	S	0.0207	0.523
YBR169C	SSE2	S	0.0	1.518
YBR172C	SMY2	S	0.00386	0.662
YBR173C	UMP1	S	0.00024	0.518
YBR177C	EHT1	S	0.00073	0.66
YBR182C	SMP1	S	0.00024	0.856
YBR185C	MBA1	S	0.0	0.576
YBR186W	PCH2	S	0.00161	0.587
YBR187W	GDT1	S	0.0	0.868
YBR205W	KTR3	S	0.00045	0.574
YBR212W	NGR1	S	0.0	0.942
YBR216C	YBP1	S	0.00016	0.368
YBR218C	PYC2	S	0.00147	0.443
YBR225W	YBR225W	S	0.00636	0.611
YBR227C	MCX1	S	0.00072	0.424
YBR230C	OM14	S	0.0	1.513
YBR235W	VHC1	S	0.00105	0.476
YBR236C	ABD1	S	0.0	0.378
YBR237W	PRP5	S	0.0	0.583
YBR255C-A	YBR255C-A	S	0.0	NA
YBR259W	YBR259W	S	0.0	0.404
YBR260C	RGD1	S	0.0	0.345
YBR262C	MIC12	S	0.0	0.472
YBR264C	YPT10	S	0.0	0.418
YBR267W	REI1	S	0.0	1.002
YBR270C	BIT2	S	0.0	0.624
YBR273C	UBX7	S	0.0	0.534
YBR290W	BSD2	S	0.00497	0.636
YBR293W	VBA2	S	0.02532	0.409
YBR295W	PCA1	S	0.01467	0.646
YBR296C	PHO89	S	0.00531	1.888
YBR296C-A	YBR296C-A	S	0.00168	NA
YBR298C	MAL31	S	0.00906	1.006
YCL001W	RER1	S	0.02556	0.736
YCL005W-A	VMA9	S	0.0	NA
YCL025C	AGP1	S	0.0	1.136
YCL043C	PDI1	S	0.0	0.752
YCL045C	EMC1	S	0.03162	0.7
YCL052C	PBN1	S	0.0	0.532
YCL055W	KAR4	S	0.00023	0.56
YCL057C-A	MIC10	S	0.01353	NA
YCR005C	CIT2	S	0.00511	1.436
YCR007C	YCR007C	S	0.01701	0.815
YCR021C	HSP30	S	9e-05	1.866
YCR037C	PHO87	S	0.00019	0.534
YCR040W	MATALPHA1	S	0.00099	0.546
YCR043C	YCR043C	S	0.00615	0.746
YCR047C	BUD23	S	0.00356	0.64
YCR048W	ARE1	S	0.06215	0.509
YCR060W	TAH1	S	0.00201	0.514
YCR061W	YCR061W	S	0.0	0.91
YCR063W	BUD31	S	0.00423	0.586
YCR065W	HCM1	S	0.00425	0.541
YCR067C	SED4	S	0.00321	0.401
YCR068W	ATG15	S	0.0	0.645
YCR073C	SSK22	S	0.01024	0.626
YCR073W-A	SOL2	S	0.02532	NA
